user_id,annotation_id,annotation_sequential_id,note_text_len
1681,3173,8,571
1682,3051,1,84
1682,3052,2,
1682,3053,3,
1682,3054,4,
1682,3091,5,
1682,3094,6,101
1682,3096,7,
1682,3099,8,51
1682,3101,9,37
1682,3370,10,
1682,3383,11,22
1682,3386,12,107
1682,3393,13,10
1682,3394,14,
1683,2984,1,3
1683,2990,2,1
1683,2991,3,8
1683,2992,4,2
1683,2993,5,20
1683,2994,6,34
1683,2995,7,51
1683,2996,8,48
1683,2997,9,18
1683,2998,10,27
1683,2999,11,27
1683,3000,12,51
1683,3001,13,48
1683,3002,14,20
1683,3003,15,30
1683,3004,16,28
1683,3005,17,18
1683,3006,18,44
1683,3007,19,186
1683,3008,20,29
1683,3113,21,18
1683,3114,22,32
1683,3115,23,12
1683,3116,24,43
1683,3117,25,
1683,3118,26,7
1683,3454,27,14
1683,3455,28,30
1683,3456,29,36
1683,3457,30,36
1683,3458,31,76
1683,3459,32,46
1683,3460,33,47
1683,3461,34,40
1683,3462,35,48
1683,3463,36,43
1683,3464,37,68
1683,3465,38,64
1683,3466,39,49
1683,3467,40,23
1683,3468,41,25
1683,3469,42,30
1683,3470,43,3
1683,3471,44,34
1683,3472,45,24
1683,3473,46,22
1683,3474,47,70
1683,3475,48,123
1684,3127,1,9
1684,3128,2,30
1684,3130,3,32
1684,3165,4,11
1684,3166,5,7
1685,3046,1,30
1685,3047,2,44
1685,3048,3,44
1685,3049,4,40
1685,3100,5,33
1685,3367,6,
1686,2971,1,
1686,2973,2,4
1686,2974,3,25
1686,2976,4,
1686,2977,5,
1686,3413,6,13
1686,3414,7,9
1686,3415,8,7
1686,3416,9,8
1686,3417,10,15
1686,3418,11,112
1686,3419,12,216
1686,3420,13,281
1686,3421,14,34
1686,3422,15,7
1686,3423,16,105
1686,3424,17,149
1686,3425,18,9
1686,3426,19,20
1686,3427,20,7
1686,3428,21,
1686,3429,22,13
1686,3430,23,3
1686,3431,24,
1686,3432,25,6
1686,3433,26,9
1686,3434,27,9
1686,3435,28,9
1686,3436,29,9
1686,3437,30,
1686,3438,31,6
1686,3439,32,6
1686,3440,33,6
1686,3441,34,6
1686,3442,35,6
1686,3443,36,6
1686,3444,37,15
1686,3445,38,11
1686,3446,39,11
1686,3447,40,11
1686,3448,41,11
1686,3449,42,6
1686,3450,43,8
1686,3451,44,8
1686,3452,45,8
1686,3453,46,8
1687,2968,1,
1687,2972,2,76
1687,2975,3,
1688,3102,1,187
1688,3103,2,69
1688,3104,3,42
1688,3105,4,189
1688,3106,5,108
1688,3107,6,110
1688,3108,7,339
1688,3109,8,211
1688,3110,9,23
1688,3111,10,13
1688,3112,11,29
1688,3159,12,55
1688,3160,13,25
1688,3161,14,55
1688,3162,15,192
1688,3163,16,32
1688,3164,17,92
1688,3371,18,175
1688,3372,19,206
1688,3373,20,114
1688,3374,21,150
1688,3375,22,287
1688,3376,23,49
1688,3377,24,122
1688,3378,25,213
1688,3379,26,69
1689,2965,1,22
1689,2978,2,
1689,2983,3,11
1689,2986,4,11
1689,3397,5,163
1689,3398,6,63
1689,3399,7,19
1689,3400,8,12
1689,3401,9,7
1689,3402,10,28
1689,3403,11,324
1689,3404,12,
1689,3405,13,2
1689,3406,14,10
1689,3407,15,4
1689,3408,16,15
1689,3409,17,7
1689,3410,18,16
1689,3411,19,16
1689,3412,20,52
1690,3009,1,37
1690,3215,2,431
1690,3216,3,595
1690,3217,4,349
1690,3218,5,46
1690,3219,6,12
1690,3220,7,105
1690,3221,8,316
1690,3222,9,42
1690,3223,10,525
1690,3224,11,74
1690,3231,12,5
1690,3233,13,40
1690,3234,14,40
1690,3238,15,52
1690,3242,16,23
1690,3243,17,17
1690,3246,18,61
1690,3252,19,72
1690,3253,20,31
1690,3254,21,37
1690,3255,22,26
1690,3256,23,45
1690,3257,24,27
1690,3258,25,55
